PolId,EffDT
5000081250,2023-10-20
5000081269,2023-10-20
5000081790,2023-10-20
5000082010,2023-10-20
5000082028,2023-10-20
5000082273,2023-10-20
5000082516,2023-10-20
5000082575,2023-10-20
5000082613,2023-10-20
5000082656,2023-10-20
5000082770,2023-10-20
5000082923,2023-10-20
5000082958,2023-10-20
5000083121,2023-10-20
5000083156,2023-10-20
5000083202,2023-10-20
5000083555,2023-10-20
5000083598,2023-10-20
5000083806,2023-10-20
5000083903,2023-10-20
5000085256,2023-10-20
5000085566,2023-10-20
5000085892,2023-10-20
5000086066,2023-10-20
5000086503,2023-10-20
5000086767,2023-10-20
5000086953,2023-10-20
5000086970,2023-10-20
5000087275,2023-10-20
5000087356,2023-10-20
5000088220,2023-10-20
5000088328,2023-10-20
5000088506,2023-10-20
5000088522,2023-10-20
5000088999,2023-10-20
5000155653,2023-10-20
5000156200,2023-10-20
5000000323,2023-10-20
5000000790,2023-10-20
5000002296,2023-10-20
5000002326,2023-10-20
5000002385,2023-10-20
5000003390,2023-10-20
5000003993,2023-10-20
5000006380,2023-10-20
5000006518,2023-10-20
5000007310,2023-10-20
5000007522,2023-10-20
5000007638,2023-10-20
5000008650,2023-10-20
5000008936,2023-10-20
5000009398,2023-10-20
5000009517,2023-10-20
5000009665,2023-10-20
5000010108,2023-10-20
5000010329,2023-10-20
5000011058,2023-10-20
5000011082,2023-10-20
5000011287,2023-10-20
5000012518,2023-10-20
5000016351,2023-10-20
5000016971,2023-10-20
5000017137,2023-10-20
5000017307,2023-10-20
5000017730,2023-10-20
5000018265,2023-10-20
5000018303,2023-10-20
5000018990,2023-10-20
5000019091,2023-10-20
5000019580,2023-10-20
5000020219,2023-10-20
5000021207,2023-10-20
5000021991,2023-10-20
5000022670,2023-10-20
5000023323,2023-10-20
5000023625,2023-10-20
5000023722,2023-10-20
5000025016,2023-10-20
5000025105,2023-10-20
5000025725,2023-10-20
5000025970,2023-10-20
5000026209,2023-10-20
5000026365,2023-10-20
5000026683,2023-10-20
5000027078,2023-10-20
5000027108,2023-10-20
5000027868,2023-10-20
5000028090,2023-10-20
5000028210,2023-10-20
5000028368,2023-10-20
5000028716,2023-10-20
5000028775,2023-10-20
5000028970,2023-10-20
5000029801,2023-10-20
5000032616,2023-10-20
5000032659,2023-10-20
5000032861,2023-10-20
5000033078,2023-10-20
5000033116,2023-10-20
5000033221,2023-10-20
5000033752,2023-10-20
5000033930,2023-10-20
5000035321,2023-10-20
5000036077,2023-10-20
5000036131,2023-10-20
5000036158,2023-10-20
5000036212,2023-10-20
5000036590,2023-10-20
5000036700,2023-10-20
5000037367,2023-10-20
5000037375,2023-10-20
5000037782,2023-10-20
5000038096,2023-10-20
5000038983,2023-10-20
5000051173,2023-10-20
5000051688,2023-10-20
5000053516,2023-10-20
5000053800,2023-10-20
5000055012,2023-10-20
5000055055,2023-10-20
5000055152,2023-10-20
5000056906,2023-10-20
5000056965,2023-10-20
5000057333,2023-10-20
5000057538,2023-10-20
5000057830,2023-10-20
5000058259,2023-10-20
5000058593,2023-10-20
5000058810,2023-10-20
5000059069,2023-10-20
5000059255,2023-10-20
5000059280,2023-10-20
5000059298,2023-10-20
5000059379,2023-10-20
5000059670,2023-10-20
5000059727,2023-10-20
5000060237,2023-10-20
5000060253,2023-10-20
5000060695,2023-10-20
5000060709,2023-10-20
5000060717,2023-10-20
5000060865,2023-10-20
5000061055,2023-10-20
5000061926,2023-10-20
5000063899,2023-10-20
5000063988,2023-10-20
5000065190,2023-10-20
5000065310,2023-10-20
5000065328,2023-10-20
5000065557,2023-10-20
5000065727,2023-10-20
5000065808,2023-10-20
5000065816,2023-10-20
5000065859,2023-10-20
5000066111,2023-10-20
5000066260,2023-10-20
5000066766,2023-10-20
5000067061,2023-10-20
5000067185,2023-10-20
5000067320,2023-10-20
5000067606,2023-10-20
5000067789,2023-10-20
5000067800,2023-10-20
5000068106,2023-10-20
5000068750,2023-10-20
5000069056,2023-10-20
5000069099,2023-10-20
5000069560,2023-10-20
5000069889,2023-10-20
5000070020,2023-10-20
5000070127,2023-10-20
5000070569,2023-10-20
5000070895,2023-10-20
5000071107,2023-10-20
5000071360,2023-10-20
5000071697,2023-10-20
5000072316,2023-10-20
5000072820,2023-10-20
5000072910,2023-10-20
5000072987,2023-10-20
5000073533,2023-10-20
5000073703,2023-10-20
5000073851,2023-10-20
5000075528,2023-10-20
5000075803,2023-10-20
5000076087,2023-10-20
5000076192,2023-10-20
5000076303,2023-10-20
5000076397,2023-10-20
5000077300,2023-10-20
5000077610,2023-10-20
5000077628,2023-10-20
5000077709,2023-10-20
5000077890,2023-10-20
5000078250,2023-10-20
5000079817,2023-10-20
5000079957,2023-10-20
5000080033,2023-10-20
5000080238,2023-10-20
5000080327,2023-10-20
5000080521,2023-10-20
5000081056,2023-10-20
5000081218,2023-10-20
5000082052,2023-10-20
5000082087,2023-10-20
5000082630,2023-10-20
5000082753,2023-10-20
5000083687,2023-10-20
5000083750,2023-10-20
5000083768,2023-10-20
5000083776,2023-10-20
5000083830,2023-10-20
5000085000,2023-10-20
5000085060,2023-10-20
5000085787,2023-10-20
5000085957,2023-10-20
5000086082,2023-10-20
5000086589,2023-10-20
5000086929,2023-10-20
5000087020,2023-10-20
5000087283,2023-10-20
5000087330,2023-10-20
5000087810,2023-10-20
5000088212,2023-10-20
5000088638,2023-10-20
5000088719,2023-10-20
5000088760,2023-10-20
5000088832,2023-10-20
5000128257,2023-10-20
5000152182,2023-10-20
5000010167,2023-10-20
5000010370,2023-10-20
5000018370,2023-10-20
5000025989,2023-10-20
5000027655,2023-10-20
5000027663,2023-10-20
5000028376,2023-10-20
5000028988,2023-10-20
5000030850,2023-10-20
5000032829,2023-10-20
5000036620,2023-10-20
5000056957,2023-10-20
5000057775,2023-10-20
5000061292,2023-10-20
5000063198,2023-10-20
5000067096,2023-10-20
5000069722,2023-10-20
5000076850,2023-10-20
5000080661,2023-10-20
5000083083,2023-10-20
5000083962,2023-10-20
5000085515,2023-10-20
5000001907,2023-10-20
5000002830,2023-10-20
5000003217,2023-10-20
5000003330,2023-10-20
5000003918,2023-10-20
5000005899,2023-10-20
5000006933,2023-10-20
5000007093,2023-10-20
5000010116,2023-10-20
5000011660,2023-10-20
5000012763,2023-10-20
5000015002,2023-10-20
5000017358,2023-10-20
5000017560,2023-10-20
5000018311,2023-10-20
5000019296,2023-10-20
5000019865,2023-10-20
5000020669,2023-10-20
5000020723,2023-10-20
5000022807,2023-10-20
5000023781,2023-10-20
5000025083,2023-10-20
5000025199,2023-10-20
5000025709,2023-10-20
5000027159,2023-10-20
5000027817,2023-10-20
5000030699,2023-10-20
5000030893,2023-10-20
5000031610,2023-10-20
5000031687,2023-10-20
5000031873,2023-10-20
5000032900,2023-10-20
5000033370,2023-10-20
5000033965,2023-10-20
5000037553,2023-10-20
5000050002,2023-10-20
5000050088,2023-10-20
5000050312,2023-10-20
5000050630,2023-10-20
5000051335,2023-10-20
5000052692,2023-10-20
5000053192,2023-10-20
5000053699,2023-10-20
5000055365,2023-10-20
5000056655,2023-10-20
5000056787,2023-10-20
5000057392,2023-10-20
5000057520,2023-10-20
5000058097,2023-10-20
5000059972,2023-10-20
5000061039,2023-10-20
5000062736,2023-10-20
5000063651,2023-10-20
5000063759,2023-10-20
5000066006,2023-10-20
5000066197,2023-10-20
5000066731,2023-10-20
5000066790,2023-10-20
5000068076,2023-10-20
5000068807,2023-10-20
5000068882,2023-10-20
5000068890,2023-10-20
5000070186,2023-10-20
5000070275,2023-10-20
5000071581,2023-10-20
5000071620,2023-10-20
5000071808,2023-10-20
5000072200,2023-10-20
5000072219,2023-10-20
5000075510,2023-10-20
5000080190,2023-10-20
5000080769,2023-10-20
5000082125,2023-10-20
5000082265,2023-10-20
5000082567,2023-10-20
5000083393,2023-10-20
5000085175,2023-10-20
5000085230,2023-10-20
5000086120,2023-10-20
5000088077,2023-10-20
5000089022,2023-10-20
